jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,Bengal Tiger,,,,,,,,,,Zebra & Oxpecker,Zebra & Oxpecker,1,,
16,Ringtail Cat,,Bengal Tiger,,,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,,Batfly & Gammaproteobacteri,16,,
8,Springhare,Jackrabbit,,,,,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,,,Bengal Tiger,,,,,,Crab & Sea Turtle,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,Serval,,,,,,,,,,Crab & Sea Turtle,Crab & Sea Turtle,5,,
12,Rock Wallaby,,Serval,,,,,,,,Crab & Sea Turtle,,Clown Fish & Sea Anenome,12,,
4,Bharal,Bharal,,,,,,,,,,Wrasse & Moray Eel,Wrasse & Moray Eel,4,,
13,Stoat,,,,Bengal Tiger,,,,Coyote & Badger,,,,Fire Coral & Algae,13,,
6,Impala,Klipspringer,,,,,,,,,,Diana Monkey & Red Colobus,Diana Monkey & Red Colobus,6,,
11,Klipspringer,,Klipspringer,,,,,,,,Diana Monkey & Red Colobus,,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,Spinner Dolphin,,,,,,,,,,Banded Mongoose & Warthog,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,,,Sifaka,,,,,,Coyote & Badger,,,Burying beetles & phoretic mites,14,,
7,Sifaka,Sifaka,,,,,,,,,,Wattled Jacana & Capybara,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,,Sifaka,,,,,,,,Coyote & Badger,,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,Markhor,,,,Bengal Tiger,,Coyote & Badger,,,,Coyote & Badger,Coyote & Badger,2,,
15,Streaked tenrec,,,,,,,,,,,,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,Moose,,,,,Bengal Tiger,,,,,Sea Lion,Sea Lion,1,,Antlion
16,Bulldog Bat,,Moose,,,,,,,,Sea Lion,,Antlion,16,Antlion,Tiger Beetle 
8,Flat-Headed Cat,Water Chevrotain,,,,,,,,,,Small Spotted Cat Shark,Small Spotted Cat Shark,8,,
9,Water Chevrotain,,,Moose,,,,,,Panther Cameleon,,,Stonecat,9,,
5,Beaver,Mink,,,,,,,,,,Panther Cameleon,Tiger Owl,5,,
12,Mink,,White-lipped peccary,,,,,,,,Panther Cameleon,,Panther Cameleon,12,,
4,White-lipped peccary,White-lipped peccary,,,,,,,,,,Fisher Cat,Fisher Cat,4,,
13,Rakali,,,,Lowland tapir,,,,Bearcat,,,,Tiger Salamandar,13,,
6,Crab-Eating Fox,Crab-Eating Fox,,,,,,,,,,Cat Snake,Lion-Tailed Macaque,6,,
11,Moonrat,,Lowland tapir,,,,,,,,Bearcat,,Cat Snake,11,,
3,Lowland tapir,Lowland tapir,,,,,,,,,,Bearcat,Bearcat,3,,
14,Water Opposum,,,Lowland tapir,,,,,,Bearcat,,,Leopard Frog,14,,
7,Marine Otter,Aquatic Genet,,,,,,,,,,Tiger Quoll,Tiger Quoll,7,,
10,Aquatic Genet,,Manatee,,,,,,,,Tiger Quoll,,Green Catbird,10,,
2,Manatee,Manatee,,,,,,,,,,Nimravid,Nimravid,2,,
15,Ring-tailed Vontsira,,,,,,,,,,,,Dandelion,15,,
